name,price,Kategori
JAMUR PERANCIS WHOLE PACK 250 GR,19600,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,18050,Sayuran
HOKTO MUSHROOM BROWN PACK JPN,19100,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,16110,Sayuran
Jamur Perancis Whole Pack,20220,Sayuran
Paket Sawi Hijau Potong - Sayur Kendal,10000,Sayuran
Buncis TW 250 Gr,9970,Sayuran
Sayurbox Paket Sambal Hijau Fresh Konvensional 1 Pack dengan Cabai Rawit Hijau Besar Keriting Tomat Hijau Bawang Merah Putih Kecombrang Herbal,29900,Sayuran
Kongke Tofu Telur Ayam 140 Gr,11760,Sayuran
Wortel Brastagi 500gr FreshBox,10400,Sayuran
Timun Acar 280 Gr,7220,Sayuran
Daun Bawang Mix Seledri Konvensional 150 gram,12100,Sayuran
Tauge Panjang Pack 200 Gr,7150,Sayuran
WHITE SHIMEJI MUSHROOM PACK 100 GR - JAMUR,18050,Sayuran
KEMBANG KOL SEGAR 500-600 GR,29670,Sayuran
IMI TAHU KUNING 10 PCS - OLAHAN KEDELAI,23700,Sayuran
KONGKE TOFU JEPUN PUTIH 250GR,12600,Sayuran
LABU SIAM BESAR 350-400 GR,3680,Sayuran
LABU SIAM BESAR 260 gr,8200,Sayuran
KONGKE TOFU TELUR AYAM 140 GR - TAHU,9500,Sayuran
PRIME TOMAT PACK 1 KG,35550,Sayuran
JAMUR PERANCIS SLICED PACK,18950,Sayuran
TOMAT TW 500-600 GR - SAYUR,18480,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,20050,Sayuran
KEMBANG KOL 500 GR,29610,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,21500,Sayuran
SAYUR PARE HIJAU 500-580 GRAM,14650,Sayuran
Jamur Enokidake Pack 100 Gr,5900,Sayuran
AMAZING FARM KANGKUNG HYDROPONIK PACK,20500,Sayuran
Sakake Tofu Putih 230 Gr,14450,Sayuran
KONGKE TAHU SUTRA 250 GR,13400,Sayuran
Jamur Perancis Sliced Pack 250 Gr,20850,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,16110,Sayuran
SAWI PUTIH 700 GR,18140,Sayuran
Sayurbox Selada Keriting Hidroponik Sayurbox Selection 250 gram,26500,Sayuran
Wortel Berastagi Konvensional 500 gram Sayurbox,17500,Sayuran
Tempe Segitiga 50 - 60 gram,2400,Sayuran
Yunyi Tempe Kims Tempe 450 gram Sayurbox,22500,Sayuran
SAKAKE TAHU SUTRA KOTAK FIRM 300 GR,17500,Sayuran
PAPRIKA HIJAU 220-250 GR - SAYUR,23150,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,18050,Sayuran
